#start1	start2	end1	end2	size2	name2
63385	9672	63422	9709	30101	NODE_1_length_30101_cov_1.004900
63421	9704	63454	9737	30101	NODE_1_length_30101_cov_1.004900
63481	9760	63527	9806	30101	NODE_1_length_30101_cov_1.004900
63562	9843	63607	9888	30101	NODE_1_length_30101_cov_1.004900
63596	9880	63648	9932	30101	NODE_1_length_30101_cov_1.004900
63658	9943	63712	9997	30101	NODE_1_length_30101_cov_1.004900
63716	9999	63753	10036	30101	NODE_1_length_30101_cov_1.004900
63757	10038	63843	10124	30101	NODE_1_length_30101_cov_1.004900
63953	10228	64035	10310	30101	NODE_1_length_30101_cov_1.004900
64033	10307	64106	10380	30101	NODE_1_length_30101_cov_1.004900
64183	10468	64223	10508	30101	NODE_1_length_30101_cov_1.004900
64225	10509	64263	10547	30101	NODE_1_length_30101_cov_1.004900
64268	10562	64303	10597	30101	NODE_1_length_30101_cov_1.004900
64380	10673	64422	10715	30101	NODE_1_length_30101_cov_1.004900
64670	10957	64707	10994	30101	NODE_1_length_30101_cov_1.004900
64728	11014	64770	11056	30101	NODE_1_length_30101_cov_1.004900
64780	11060	64815	11095	30101	NODE_1_length_30101_cov_1.004900
64833	11111	64876	11154	30101	NODE_1_length_30101_cov_1.004900
64899	11174	64992	11267	30101	NODE_1_length_30101_cov_1.004900
65013	11279	65064	11330	30101	NODE_1_length_30101_cov_1.004900
65077	11343	65114	11380	30101	NODE_1_length_30101_cov_1.004900
65121	11383	65168	11430	30101	NODE_1_length_30101_cov_1.004900
65286	11549	65323	11586	30101	NODE_1_length_30101_cov_1.004900
65338	11604	65388	11654	30101	NODE_1_length_30101_cov_1.004900
65505	11754	65561	11810	30101	NODE_1_length_30101_cov_1.004900
65593	11840	65703	11950	30101	NODE_1_length_30101_cov_1.004900
65728	11976	65765	12013	30101	NODE_1_length_30101_cov_1.004900
65835	12074	65883	12122	30101	NODE_1_length_30101_cov_1.004900
65966	12208	66022	12264	30101	NODE_1_length_30101_cov_1.004900
66018	12259	66071	12312	30101	NODE_1_length_30101_cov_1.004900
66084	12330	66193	12439	30101	NODE_1_length_30101_cov_1.004900
66199	12444	66274	12519	30101	NODE_1_length_30101_cov_1.004900
66276	12523	66318	12565	30101	NODE_1_length_30101_cov_1.004900
66462	12730	66658	12926	30101	NODE_1_length_30101_cov_1.004900
66660	12927	66708	12975	30101	NODE_1_length_30101_cov_1.004900
66734	13003	66766	13035	30101	NODE_1_length_30101_cov_1.004900
66816	13092	66869	13145	30101	NODE_1_length_30101_cov_1.004900
66938	13207	66996	13265	30101	NODE_1_length_30101_cov_1.004900
67013	13278	67067	13332	30101	NODE_1_length_30101_cov_1.004900
67103	13370	67214	13481	30101	NODE_1_length_30101_cov_1.004900
67247	13514	67282	13549	30101	NODE_1_length_30101_cov_1.004900
67279	13547	67312	13580	30101	NODE_1_length_30101_cov_1.004900
67311	13581	67355	13625	30101	NODE_1_length_30101_cov_1.004900
67364	13628	67404	13668	30101	NODE_1_length_30101_cov_1.004900
67408	13670	67450	13712	30101	NODE_1_length_30101_cov_1.004900
67488	13757	67527	13796	30101	NODE_1_length_30101_cov_1.004900
67624	13897	67718	13991	30101	NODE_1_length_30101_cov_1.004900
67755	14025	67811	14081	30101	NODE_1_length_30101_cov_1.004900
67822	14081	67894	14153	30101	NODE_1_length_30101_cov_1.004900
67895	14153	67937	14195	30101	NODE_1_length_30101_cov_1.004900
67938	14195	68030	14287	30101	NODE_1_length_30101_cov_1.004900
68029	14289	68135	14395	30101	NODE_1_length_30101_cov_1.004900
68148	14412	68216	14480	30101	NODE_1_length_30101_cov_1.004900
68215	14480	68322	14587	30101	NODE_1_length_30101_cov_1.004900
68526	14796	68635	14905	30101	NODE_1_length_30101_cov_1.004900
68655	14931	68718	14994	30101	NODE_1_length_30101_cov_1.004900
68719	14996	68785	15062	30101	NODE_1_length_30101_cov_1.004900
68896	15174	68935	15213	30101	NODE_1_length_30101_cov_1.004900
69010	15289	69056	15335	30101	NODE_1_length_30101_cov_1.004900
69055	15336	69168	15449	30101	NODE_1_length_30101_cov_1.004900
69170	15452	69237	15519	30101	NODE_1_length_30101_cov_1.004900
69230	15514	69301	15585	30101	NODE_1_length_30101_cov_1.004900
69303	15588	69368	15653	30101	NODE_1_length_30101_cov_1.004900
69393	15678	69430	15715	30101	NODE_1_length_30101_cov_1.004900
69420	15707	69465	15752	30101	NODE_1_length_30101_cov_1.004900
69479	15769	69596	15886	30101	NODE_1_length_30101_cov_1.004900
69619	15913	69707	16001	30101	NODE_1_length_30101_cov_1.004900
69710	16006	69757	16053	30101	NODE_1_length_30101_cov_1.004900
69777	16079	69810	16112	30101	NODE_1_length_30101_cov_1.004900
69875	16176	69969	16270	30101	NODE_1_length_30101_cov_1.004900
70018	16329	70067	16378	30101	NODE_1_length_30101_cov_1.004900
70266	16564	70337	16635	30101	NODE_1_length_30101_cov_1.004900
70437	16734	70474	16771	30101	NODE_1_length_30101_cov_1.004900
70559	16854	70593	16888	30101	NODE_1_length_30101_cov_1.004900
70642	16938	70818	17114	30101	NODE_1_length_30101_cov_1.004900
70818	17118	70865	17165	30101	NODE_1_length_30101_cov_1.004900
70917	17227	70970	17280	30101	NODE_1_length_30101_cov_1.004900
70969	17278	71031	17340	30101	NODE_1_length_30101_cov_1.004900
71028	17336	71085	17393	30101	NODE_1_length_30101_cov_1.004900
71149	17462	71186	17499	30101	NODE_1_length_30101_cov_1.004900
71205	17518	71241	17554	30101	NODE_1_length_30101_cov_1.004900
71242	17557	71290	17605	30101	NODE_1_length_30101_cov_1.004900
71297	17608	71359	17670	30101	NODE_1_length_30101_cov_1.004900
71359	17671	71393	17705	30101	NODE_1_length_30101_cov_1.004900
71451	17750	71486	17785	30101	NODE_1_length_30101_cov_1.004900
71480	17778	71552	17850	30101	NODE_1_length_30101_cov_1.004900
71525	17819	71631	17925	30101	NODE_1_length_30101_cov_1.004900
71623	17919	71741	18037	30101	NODE_1_length_30101_cov_1.004900
71760	18060	71799	18099	30101	NODE_1_length_30101_cov_1.004900
71811	18109	71851	18149	30101	NODE_1_length_30101_cov_1.004900
71922	18206	72003	18287	30101	NODE_1_length_30101_cov_1.004900
72005	18288	72062	18345	30101	NODE_1_length_30101_cov_1.004900
72064	18345	72127	18408	30101	NODE_1_length_30101_cov_1.004900
72192	18471	72313	18592	30101	NODE_1_length_30101_cov_1.004900
72414	18660	72492	18738	30101	NODE_1_length_30101_cov_1.004900
72616	18864	72659	18907	30101	NODE_1_length_30101_cov_1.004900
72704	18947	72785	19028	30101	NODE_1_length_30101_cov_1.004900
72840	19079	72876	19115	30101	NODE_1_length_30101_cov_1.004900
72875	19113	72921	19159	30101	NODE_1_length_30101_cov_1.004900
72938	19174	72992	19228	30101	NODE_1_length_30101_cov_1.004900
73009	19242	73102	19335	30101	NODE_1_length_30101_cov_1.004900
73119	19355	73171	19407	30101	NODE_1_length_30101_cov_1.004900
73170	19405	73210	19445	30101	NODE_1_length_30101_cov_1.004900
73435	19661	73474	19700	30101	NODE_1_length_30101_cov_1.004900
73477	19704	73545	19772	30101	NODE_1_length_30101_cov_1.004900
73565	19798	73625	19858	30101	NODE_1_length_30101_cov_1.004900
73591	19821	73677	19907	30101	NODE_1_length_30101_cov_1.004900
73738	19966	73785	20013	30101	NODE_1_length_30101_cov_1.004900
73812	20040	73869	20097	30101	NODE_1_length_30101_cov_1.004900
73932	20159	73975	20202	30101	NODE_1_length_30101_cov_1.004900
74004	20224	74044	20264	30101	NODE_1_length_30101_cov_1.004900
74106	20327	74198	20419	30101	NODE_1_length_30101_cov_1.004900
74314	20513	74356	20555	30101	NODE_1_length_30101_cov_1.004900
74357	20555	74402	20600	30101	NODE_1_length_30101_cov_1.004900
74401	20600	74466	20665	30101	NODE_1_length_30101_cov_1.004900
74493	20692	74559	20758	30101	NODE_1_length_30101_cov_1.004900
74559	20759	74604	20804	30101	NODE_1_length_30101_cov_1.004900
74620	20817	74663	20860	30101	NODE_1_length_30101_cov_1.004900
74690	20886	74734	20930	30101	NODE_1_length_30101_cov_1.004900
74965	21141	75056	21232	30101	NODE_1_length_30101_cov_1.004900
75114	21286	75151	21323	30101	NODE_1_length_30101_cov_1.004900
75389	21560	75433	21604	30101	NODE_1_length_30101_cov_1.004900
75450	21616	75584	21750	30101	NODE_1_length_30101_cov_1.004900
75633	21787	75780	21934	30101	NODE_1_length_30101_cov_1.004900
75836	21991	75927	22082	30101	NODE_1_length_30101_cov_1.004900
75915	22075	76000	22160	30101	NODE_1_length_30101_cov_1.004900
76009	22171	76047	22209	30101	NODE_1_length_30101_cov_1.004900
76050	22210	76192	22352	30101	NODE_1_length_30101_cov_1.004900
76187	22348	76247	22408	30101	NODE_1_length_30101_cov_1.004900
76248	22408	76332	22492	30101	NODE_1_length_30101_cov_1.004900
76322	22474	76444	22596	30101	NODE_1_length_30101_cov_1.004900
76445	22599	76500	22654	30101	NODE_1_length_30101_cov_1.004900
76553	22711	76626	22784	30101	NODE_1_length_30101_cov_1.004900
76623	22780	76692	22849	30101	NODE_1_length_30101_cov_1.004900
76805	22972	76861	23028	30101	NODE_1_length_30101_cov_1.004900
76863	23029	76924	23090	30101	NODE_1_length_30101_cov_1.004900
76933	23101	76986	23154	30101	NODE_1_length_30101_cov_1.004900
76984	23153	77024	23193	30101	NODE_1_length_30101_cov_1.004900
77086	23267	77145	23326	30101	NODE_1_length_30101_cov_1.004900
77144	23326	77212	23394	30101	NODE_1_length_30101_cov_1.004900
77236	23419	77280	23463	30101	NODE_1_length_30101_cov_1.004900
77280	23465	77341	23526	30101	NODE_1_length_30101_cov_1.004900
77344	23533	77405	23594	30101	NODE_1_length_30101_cov_1.004900
77405	23595	77450	23640	30101	NODE_1_length_30101_cov_1.004900
77479	23671	77592	23784	30101	NODE_1_length_30101_cov_1.004900
77628	23816	77662	23850	30101	NODE_1_length_30101_cov_1.004900
77662	23849	77722	23909	30101	NODE_1_length_30101_cov_1.004900
77724	23910	77834	24020	30101	NODE_1_length_30101_cov_1.004900
77857	24048	77948	24139	30101	NODE_1_length_30101_cov_1.004900
77963	24152	78073	24262	30101	NODE_1_length_30101_cov_1.004900
78071	24258	78120	24307	30101	NODE_1_length_30101_cov_1.004900
78129	24315	78197	24383	30101	NODE_1_length_30101_cov_1.004900
78229	24415	78302	24488	30101	NODE_1_length_30101_cov_1.004900
78501	24706	78606	24811	30101	NODE_1_length_30101_cov_1.004900
78913	25122	78989	25198	30101	NODE_1_length_30101_cov_1.004900
79027	25239	79110	25322	30101	NODE_1_length_30101_cov_1.004900
79108	25319	79241	25452	30101	NODE_1_length_30101_cov_1.004900
79233	25445	79297	25509	30101	NODE_1_length_30101_cov_1.004900
79294	25505	79342	25553	30101	NODE_1_length_30101_cov_1.004900
79370	25585	79409	25624	30101	NODE_1_length_30101_cov_1.004900
79509	25730	79565	25786	30101	NODE_1_length_30101_cov_1.004900
79588	25813	79640	25865	30101	NODE_1_length_30101_cov_1.004900
79666	25890	79742	25966	30101	NODE_1_length_30101_cov_1.004900
79713	25936	79790	26013	30101	NODE_1_length_30101_cov_1.004900
79848	26072	79905	26129	30101	NODE_1_length_30101_cov_1.004900
79900	26123	79965	26188	30101	NODE_1_length_30101_cov_1.004900
80146	26378	80209	26441	30101	NODE_1_length_30101_cov_1.004900
80318	26553	80459	26694	30101	NODE_1_length_30101_cov_1.004900
80463	26703	80504	26744	30101	NODE_1_length_30101_cov_1.004900
80548	26786	80602	26840	30101	NODE_1_length_30101_cov_1.004900
80639	26870	80731	26962	30101	NODE_1_length_30101_cov_1.004900
80975	27199	81040	27264	30101	NODE_1_length_30101_cov_1.004900
81029	27256	81081	27308	30101	NODE_1_length_30101_cov_1.004900
81180	27396	81221	27437	30101	NODE_1_length_30101_cov_1.004900
81222	27437	81356	27571	30101	NODE_1_length_30101_cov_1.004900
81372	27592	81441	27661	30101	NODE_1_length_30101_cov_1.004900
81439	27662	81513	27736	30101	NODE_1_length_30101_cov_1.004900
81548	27766	81588	27806	30101	NODE_1_length_30101_cov_1.004900
81588	27807	81626	27845	30101	NODE_1_length_30101_cov_1.004900
81668	27885	81833	28050	30101	NODE_1_length_30101_cov_1.004900
81884	28109	81971	28196	30101	NODE_1_length_30101_cov_1.004900
82010	28230	82115	28335	30101	NODE_1_length_30101_cov_1.004900
82151	28381	82217	28447	30101	NODE_1_length_30101_cov_1.004900
82357	28577	82410	28630	30101	NODE_1_length_30101_cov_1.004900
82568	28816	82634	28882	30101	NODE_1_length_30101_cov_1.004900
82632	28878	82769	29015	30101	NODE_1_length_30101_cov_1.004900
82780	29029	82818	29067	30101	NODE_1_length_30101_cov_1.004900
82818	29066	82895	29143	30101	NODE_1_length_30101_cov_1.004900
82931	29186	82965	29220	30101	NODE_1_length_30101_cov_1.004900
82996	29254	83041	29299	30101	NODE_1_length_30101_cov_1.004900
83056	29323	83134	29401	30101	NODE_1_length_30101_cov_1.004900
83134	29399	83219	29484	30101	NODE_1_length_30101_cov_1.004900
83219	29488	83299	29568	30101	NODE_1_length_30101_cov_1.004900
83331	29607	83367	29643	30101	NODE_1_length_30101_cov_1.004900
83366	29641	83418	29693	30101	NODE_1_length_30101_cov_1.004900
83434	29711	83518	29795	30101	NODE_1_length_30101_cov_1.004900
83521	29796	83576	29851	30101	NODE_1_length_30101_cov_1.004900
83600	29869	83664	29933	30101	NODE_1_length_30101_cov_1.004900
83665	29935	83761	30031	30101	NODE_1_length_30101_cov_1.004900
278467	1	278593	127	11748	NODE_2_length_11748_cov_1.011074
278619	148	278658	187	11748	NODE_2_length_11748_cov_1.011074
278719	253	278868	402	11748	NODE_2_length_11748_cov_1.011074
278896	430	278951	485	11748	NODE_2_length_11748_cov_1.011074
278980	515	279035	570	11748	NODE_2_length_11748_cov_1.011074
279034	568	279114	648	11748	NODE_2_length_11748_cov_1.011074
279112	645	279169	702	11748	NODE_2_length_11748_cov_1.011074
279264	803	279343	882	11748	NODE_2_length_11748_cov_1.011074
279345	880	279397	932	11748	NODE_2_length_11748_cov_1.011074
279394	926	279482	1014	11748	NODE_2_length_11748_cov_1.011074
279483	1014	279558	1089	11748	NODE_2_length_11748_cov_1.011074
279567	1096	279607	1136	11748	NODE_2_length_11748_cov_1.011074
279613	1141	279652	1180	11748	NODE_2_length_11748_cov_1.011074
279646	1175	279688	1217	11748	NODE_2_length_11748_cov_1.011074
279683	1214	279736	1267	11748	NODE_2_length_11748_cov_1.011074
279740	1270	279788	1318	11748	NODE_2_length_11748_cov_1.011074
279787	1316	279853	1382	11748	NODE_2_length_11748_cov_1.011074
279849	1379	279965	1495	11748	NODE_2_length_11748_cov_1.011074
279978	1510	280026	1558	11748	NODE_2_length_11748_cov_1.011074
280051	1581	280146	1676	11748	NODE_2_length_11748_cov_1.011074
280143	1674	280232	1763	11748	NODE_2_length_11748_cov_1.011074
280341	1877	280376	1912	11748	NODE_2_length_11748_cov_1.011074
280519	2067	280572	2120	11748	NODE_2_length_11748_cov_1.011074
280570	2117	280604	2151	11748	NODE_2_length_11748_cov_1.011074
280605	2151	280678	2224	11748	NODE_2_length_11748_cov_1.011074
280744	2294	280818	2368	11748	NODE_2_length_11748_cov_1.011074
280813	2362	280867	2416	11748	NODE_2_length_11748_cov_1.011074
280898	2445	280935	2482	11748	NODE_2_length_11748_cov_1.011074
280929	2475	280972	2518	11748	NODE_2_length_11748_cov_1.011074
280970	2517	281004	2551	11748	NODE_2_length_11748_cov_1.011074
281038	2586	281115	2663	11748	NODE_2_length_11748_cov_1.011074
281186	2737	281226	2777	11748	NODE_2_length_11748_cov_1.011074
281223	2775	281273	2825	11748	NODE_2_length_11748_cov_1.011074
281341	2885	281408	2952	11748	NODE_2_length_11748_cov_1.011074
281442	2988	281491	3037	11748	NODE_2_length_11748_cov_1.011074
281583	3131	281712	3260	11748	NODE_2_length_11748_cov_1.011074
281734	3283	281873	3422	11748	NODE_2_length_11748_cov_1.011074
281890	3438	281940	3488	11748	NODE_2_length_11748_cov_1.011074
281938	3487	281969	3518	11748	NODE_2_length_11748_cov_1.011074
281961	3511	282052	3602	11748	NODE_2_length_11748_cov_1.011074
282102	3638	282140	3676	11748	NODE_2_length_11748_cov_1.011074
282178	3707	282215	3744	11748	NODE_2_length_11748_cov_1.011074
282222	3749	282293	3820	11748	NODE_2_length_11748_cov_1.011074
282395	3914	282540	4059	11748	NODE_2_length_11748_cov_1.011074
282582	4109	282637	4164	11748	NODE_2_length_11748_cov_1.011074
282722	4255	282766	4299	11748	NODE_2_length_11748_cov_1.011074
282792	4330	282829	4367	11748	NODE_2_length_11748_cov_1.011074
282828	4368	282907	4447	11748	NODE_2_length_11748_cov_1.011074
282914	4457	282959	4502	11748	NODE_2_length_11748_cov_1.011074
282970	4519	283011	4560	11748	NODE_2_length_11748_cov_1.011074
283168	4715	283214	4761	11748	NODE_2_length_11748_cov_1.011074
283212	4760	283252	4800	11748	NODE_2_length_11748_cov_1.011074
283288	4838	283331	4881	11748	NODE_2_length_11748_cov_1.011074
283330	4881	283365	4916	11748	NODE_2_length_11748_cov_1.011074
283439	5002	283472	5035	11748	NODE_2_length_11748_cov_1.011074
283634	5226	283691	5283	11748	NODE_2_length_11748_cov_1.011074
283708	5303	283785	5380	11748	NODE_2_length_11748_cov_1.011074
283802	5403	283840	5441	11748	NODE_2_length_11748_cov_1.011074
283856	5453	283929	5526	11748	NODE_2_length_11748_cov_1.011074
283913	5507	283993	5587	11748	NODE_2_length_11748_cov_1.011074
284029	5623	284151	5745	11748	NODE_2_length_11748_cov_1.011074
284216	5809	284253	5846	11748	NODE_2_length_11748_cov_1.011074
284262	5858	284294	5890	11748	NODE_2_length_11748_cov_1.011074
284294	5891	284351	5948	11748	NODE_2_length_11748_cov_1.011074
284398	5991	284508	6101	11748	NODE_2_length_11748_cov_1.011074
284501	6093	284575	6167	11748	NODE_2_length_11748_cov_1.011074
284600	6189	284645	6234	11748	NODE_2_length_11748_cov_1.011074
284644	6232	284687	6275	11748	NODE_2_length_11748_cov_1.011074
284689	6281	284766	6358	11748	NODE_2_length_11748_cov_1.011074
284764	6355	284831	6422	11748	NODE_2_length_11748_cov_1.011074
284835	6425	284912	6502	11748	NODE_2_length_11748_cov_1.011074
285097	6673	285140	6716	11748	NODE_2_length_11748_cov_1.011074
285271	6841	285406	6976	11748	NODE_2_length_11748_cov_1.011074
285405	6976	285458	7029	11748	NODE_2_length_11748_cov_1.011074
285578	7169	285613	7204	11748	NODE_2_length_11748_cov_1.011074
285609	7201	285690	7282	11748	NODE_2_length_11748_cov_1.011074
285704	7292	285749	7337	11748	NODE_2_length_11748_cov_1.011074
285785	7375	285897	7487	11748	NODE_2_length_11748_cov_1.011074
285987	7585	286043	7641	11748	NODE_2_length_11748_cov_1.011074
286078	7681	286126	7729	11748	NODE_2_length_11748_cov_1.011074
286116	7721	286224	7829	11748	NODE_2_length_11748_cov_1.011074
286248	7853	286292	7897	11748	NODE_2_length_11748_cov_1.011074
286393	8007	286463	8077	11748	NODE_2_length_11748_cov_1.011074
286594	8223	286658	8287	11748	NODE_2_length_11748_cov_1.011074
286642	8274	286715	8347	11748	NODE_2_length_11748_cov_1.011074
286743	8376	286783	8416	11748	NODE_2_length_11748_cov_1.011074
286806	8446	286888	8528	11748	NODE_2_length_11748_cov_1.011074
286887	8529	286961	8603	11748	NODE_2_length_11748_cov_1.011074
287182	8853	287238	8909	11748	NODE_2_length_11748_cov_1.011074
287234	8909	287297	8972	11748	NODE_2_length_11748_cov_1.011074
287294	8968	287365	9039	11748	NODE_2_length_11748_cov_1.011074
287370	9047	287420	9097	11748	NODE_2_length_11748_cov_1.011074
287423	9106	287479	9162	11748	NODE_2_length_11748_cov_1.011074
287480	9165	287544	9229	11748	NODE_2_length_11748_cov_1.011074
287547	9229	287582	9264	11748	NODE_2_length_11748_cov_1.011074
287582	9265	287659	9342	11748	NODE_2_length_11748_cov_1.011074
288431	10102	288496	10167	11748	NODE_2_length_11748_cov_1.011074
288540	10215	288613	10288	11748	NODE_2_length_11748_cov_1.011074
288608	10288	288645	10325	11748	NODE_2_length_11748_cov_1.011074
288709	10393	288742	10426	11748	NODE_2_length_11748_cov_1.011074
288798	10494	288837	10533	11748	NODE_2_length_11748_cov_1.011074
289020	10719	289126	10825	11748	NODE_2_length_11748_cov_1.011074
289129	10829	289205	10905	11748	NODE_2_length_11748_cov_1.011074
289207	10910	289245	10948	11748	NODE_2_length_11748_cov_1.011074
289312	11008	289354	11050	11748	NODE_2_length_11748_cov_1.011074
289366	11069	289426	11129	11748	NODE_2_length_11748_cov_1.011074
289528	11232	289570	11274	11748	NODE_2_length_11748_cov_1.011074
289614	11320	289725	11431	11748	NODE_2_length_11748_cov_1.011074
289725	11432	289772	11479	11748	NODE_2_length_11748_cov_1.011074
289779	11488	289816	11525	11748	NODE_2_length_11748_cov_1.011074
289845	11556	289914	11625	11748	NODE_2_length_11748_cov_1.011074
289913	11625	290036	11748	11748	NODE_2_length_11748_cov_1.011074
1049590	1	1049713	124	11748	NODE_2_length_11748_cov_1.011074
1049712	124	1049768	180	11748	NODE_2_length_11748_cov_1.011074
2075193	10284	2075284	10375	11748	NODE_2_length_11748_cov_1.011074
3581451	11062	3581493	11104	11748	NODE_2_length_11748_cov_1.011074
3581491	11101	3581571	11181	11748	NODE_2_length_11748_cov_1.011074
3581570	11179	3581625	11234	11748	NODE_2_length_11748_cov_1.011074
3581654	11264	3581709	11319	11748	NODE_2_length_11748_cov_1.011074
