#start1	start2	end1	end2	size2	name2
28544	1	28950	407	407	NODE_40_length_407_cov_0.920455
82495	1	82821	327	327	NODE_41_length_327_cov_0.797794
40280	1	40540	261	261	NODE_42_length_261_cov_1.563107
76388	1	76644	257	257	NODE_43_length_257_cov_1.113861
1570	1	1840	271	271	NODE_44_length_271_cov_0.833333
36835	1	37100	266	266	NODE_45_length_266_cov_1.236967
30588	1	30877	290	290	NODE_46_length_290_cov_1.034043
13163	1	13528	366	366	NODE_47_length_366_cov_1.909968
77598	1	77932	335	335	NODE_48_length_335_cov_1.260714
21518	1	21925	408	408	NODE_49_length_408_cov_1.747875
87136	1	87667	532	532	NODE_50_length_532_cov_1.098532
31040	1	31302	263	263	NODE_51_length_263_cov_0.918269
38693	1	38964	272	272	NODE_52_length_272_cov_1.023041
23094	1	23448	355	355	NODE_53_length_355_cov_1.223333
83291	1	83697	407	407	NODE_54_length_407_cov_1.346591
38192	1	38406	215	215	NODE_55_length_215_cov_0.812500
77926	1	78643	718	718	NODE_56_length_718_cov_2.304676
93842	1	94144	303	303	NODE_57_length_303_cov_0.927419
698642	191	698727	276	276	NODE_58_length_276_cov_2.361991
5590	1	5865	276	276	NODE_58_length_276_cov_2.361991
82916	1	83220	305	305	NODE_59_length_305_cov_1.436000
59006	1	59346	341	341	NODE_60_length_341_cov_1.178322
14419	1	15133	715	715	NODE_61_length_715_cov_1.606061
85749	1	86091	343	343	NODE_62_length_343_cov_1.381944
60725	1	60933	209	209	NODE_63_length_209_cov_0.870130
50382	1	50665	284	284	NODE_64_length_284_cov_0.960699
35964	1	36334	371	371	NODE_65_length_371_cov_1.544304
29698	1	30069	372	372	NODE_66_length_372_cov_1.129338
13749	1	14174	426	426	NODE_67_length_426_cov_1.191375
91308	1	91591	284	284	NODE_68_length_284_cov_0.947598
94297	1	94531	235	235	NODE_69_length_235_cov_1.405556
60502	1	60742	241	241	NODE_70_length_241_cov_0.903226
73431	1	73798	368	368	NODE_71_length_368_cov_0.814696
51424	1	52010	587	587	NODE_72_length_587_cov_1.385338
19144	1	19664	521	521	NODE_73_length_521_cov_1.568670
57016	1	57721	706	706	NODE_74_length_706_cov_0.946237
71845	1	72054	210	210	NODE_75_length_210_cov_0.909677
480	1	851	372	372	NODE_76_length_372_cov_1.258675
49639	1	49881	243	243	NODE_77_length_243_cov_1.170213
32995	1	33281	287	287	NODE_78_length_287_cov_1.112069
21932	1	22382	451	451	NODE_79_length_451_cov_1.661616
79881	1	80364	484	484	NODE_80_length_484_cov_1.027972
3581453	1	3582222	770	842	NODE_81_length_842_cov_3.701398
19720	1	20561	842	842	NODE_81_length_842_cov_3.701398
278385	75	279152	842	842	NODE_81_length_842_cov_3.701398
1976527	77	1977292	842	842	NODE_81_length_842_cov_3.701398
28080	1	28372	293	293	NODE_82_length_293_cov_1.168067
68274	1	68726	453	453	NODE_83_length_453_cov_1.786432
48127	1	48513	387	387	NODE_84_length_387_cov_1.222892
81814	1	82115	302	302	NODE_85_length_302_cov_0.923077
58651	1	59005	355	355	NODE_86_length_355_cov_1.200000
89998	1	90263	266	266	NODE_87_length_266_cov_1.488152
30116	1	30589	474	474	NODE_88_length_474_cov_0.871122
35070	1	35459	390	390	NODE_89_length_390_cov_1.152239
17116	1	17646	531	531	NODE_90_length_531_cov_1.157563
78667	1	78955	289	289	NODE_91_length_289_cov_0.961538
85023	1	85386	364	364	NODE_92_length_364_cov_1.491909
68723	1	69011	289	289	NODE_93_length_289_cov_0.914530
65542	1	65752	211	211	NODE_94_length_211_cov_1.019231
85367	1	85734	368	368	NODE_95_length_368_cov_0.987220
11778	1	12205	428	428	NODE_96_length_428_cov_1.469169
46027	1	46318	292	292	NODE_97_length_292_cov_1.025316
79502	1	79848	347	347	NODE_98_length_347_cov_1.304795
80554	1	80881	328	328	NODE_99_length_328_cov_1.128205
18414	1	18997	584	584	NODE_100_length_584_cov_1.489603
46477	1	46705	229	229	NODE_101_length_229_cov_1.183908
23871	1	24272	402	402	NODE_102_length_402_cov_1.270893
25550	1	25911	362	362	NODE_103_length_362_cov_1.078176
3201162	113	3201195	146	362	NODE_103_length_362_cov_1.078176
3672404	117	3672442	155	362	NODE_103_length_362_cov_1.078176
3982299	155	3982350	206	362	NODE_103_length_362_cov_1.078176
61790	1	62811	1022	1022	NODE_104_length_1022_cov_1.083764
42764	1	43025	262	262	NODE_105_length_262_cov_0.816425
997	1	1333	337	337	NODE_106_length_337_cov_0.751773
6755	1	6973	219	219	NODE_107_length_219_cov_0.823171
75968	1	76385	418	418	NODE_108_length_418_cov_1.104683
54557	1	54891	335	335	NODE_109_length_335_cov_1.807143
34297	1	34555	259	259	NODE_110_length_259_cov_1.392157
24420	1	25375	956	956	NODE_111_length_956_cov_1.035516
58113	1	58449	337	337	NODE_112_length_337_cov_1.429078
86537	1	86813	277	277	NODE_113_length_277_cov_1.216216
26057	1	26434	378	378	NODE_114_length_378_cov_1.030960
84148	1	84532	385	385	NODE_115_length_385_cov_1.087879
69908	1	70262	355	355	NODE_116_length_355_cov_1.330000
66145	1	66656	512	905	NODE_117_length_905_cov_1.101176
66649	420	66741	512	905	NODE_117_length_905_cov_1.101176
5158	1	5601	444	905	NODE_117_length_905_cov_1.101176
2302832	408	2302869	445	905	NODE_117_length_905_cov_1.101176
3748226	617	3748508	899	905	NODE_117_length_905_cov_1.101176
22791	1	23018	228	228	NODE_118_length_228_cov_1.011561
64209	1	64428	220	220	NODE_119_length_220_cov_0.884848
10755	1	11300	546	546	NODE_120_length_546_cov_1.429735
44349	1	44628	280	280	NODE_121_length_280_cov_0.817778
43821	1	44044	224	224	NODE_122_length_224_cov_1.260355
95704	1	95921	218	218	NODE_123_length_218_cov_1.006135
